,JID,Text
；（4）再經過二次不同之軋輪機依次延壓，控制其厚度不同之薄片；（5）經軋輪機
延壓後，由捲取機將不同厚度之片狀半成品捲取成束；（6） 採用油壓成型機，將捲
取之片狀半成品依不同需求可製成不同形狀之成品，例如餐盤、碗；（7） 成品成型
後直接上膠處理，乾燥即完成。」，但該修正本除刪除紫外線照射殺菌部分外，亦將
食品級黏著劑改為聚乙烯醇，然聚乙烯醇黏著劑並未見於原專利說明書，已變更原申
請內容之實質，原告所主張應就修正後專利說明書審查，尚不足採。而原專利說明書
所用上位概念用語「食品級黏著劑」難以與引證一所用下位概念用語「澱粉黏著劑」
比較具優劣，況以聚乙烯醇作為餐具材料之黏著劑使用者，亦為該行業所習用之技術
，如引證二。又本案原專利說明書及引證一於製程中皆有烘乾之過程，均具有高溫殺
菌之功能，是否再使用紫外線殺菌，並非必要，且以紫外線殺菌，復屬習用技術之簡
易運用，常見於食品相關製造業之生產製程。本案於一再訴願程序中，曾先後經財團
法人工業技術研究院化學工業研究所基於專業知能提供審查意見，亦認本案不符新穎
性、進步性之專利要件，有該所八十八年七月十二日（八八）工研化審字第一○一七
號函及八十八年十二月八日（八八）工研化審字第一七七五號函所附審查意見書附於
訴願卷可按，核其審查意見，客觀公正，堪予採憑。本案不得申請取得發明專利。至
原告所主張其以本案及其追加案合併後向美國申請專利，經修正後已獲准專利等語。
但該向美國申請專利之專利說明書所揭露技術內容與本案原專利說明書內容並非完全
一致，且因各國專利法制及審查基準雖有類似仍有差異，尚不能以在外國獲准專利，
作為本案應准專利之依據。原告所提第00000000號「包裝容器及其製造方法
」發明專利案，是否具可專利性，核屬另案問題，非本件所得審究範圍。是原告所訴
各節，均不足採。從而被告所為再審查審定，揆諸首揭規定，核無違誤，一再訴願決
定，遞予維持原處分，均無不合，原告起訴意旨，難謂有理，應予駁回。
據上論結，本件原告之訴為無理由，爰依行政訴訟法施行法第二條、行政訴訟法第九
十八條第三項前段，判決如主文。"
2931,"KSDM,112,智簡,24,20230907,1",
2932,"SCDM,100,審智易,3,20110831,1",
2933,"IPCM,103,刑智上訴,65,20150415,1",
2934,"TCDM,109,智易,73,20210119,1",
2935,"IPCV,112,民著訴,29,20240515,1",
2936,"TYDM,97,訴,568,20081030,1","書狀於本院，上訴於臺灣高等法院。
　　　　　　　　　　　　　　　  書記官　黃俊燁"
2937,"KSDM,94,易,153,20050316,1",
2938,"TPBA,97,訴,1085,20080820,2",
2939,"TCDM,91,中簡上,91,20030603,1",
2940,"PTDM,105,智易緝,2,20170531,1",
2941,"TPBA,91,訴,2815,20030729,1",
2942,"TYDM,106,單聲沒,195,20180117,1",
2943,"TYDM,94,訴,1560,20080506,1","書狀於本院，上訴於臺灣高等法院。
　　　　　　　　　　　　　　　書記官　郭玉芬"
2944,"IPCV,108,民著訴,145,20200713,1",
2945,"IPCM,103,刑智聲,10,20140425,2",
2946,"PCDM,95,訴,2412,20070615,1",
2947,"IPCV,112,民著訴,40,20240930,1",
2948,"TPAA,96,裁,116,20070118,1",
2949,"IPCV,100,民專訴,69,20120511,3",
2950,"PCDM,107,智易,14,20180511,1",
2951,"TYDM,110,桃智簡,23,20211206,1",
2952,"TPSM,97,台上,1159,20080320",
2953,"IPCA,109,行專訴,1,20200730,4",
2954,"IPCM,101,刑智上易,19,20120329,1",
2955,"IPCM,99,刑智聲,5,20100308,1",
2956,"TPBA,94,訴,2407,20060608,2",
2957,"TCHV,96,智上,12,20081007,1",
2958,"TPBA,95,訴,4026,20070823,2",
2959,"TPDV,97,審智,2,20080905,1",
2960,"TPDM,92,易,572,20030418,1",
2961,"TPAA,97,裁,3502,20080710,1",
2962,"IPCA,99,行專訴,68,20101118,3","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
2963,"TPSV,106,台上,330,20170217",
2964,"TPAA,89,判,250,20000127",
2965,"TPDM,96,易,1575,20080221,1",
2966,"PCDM,106,智易更(一),1,20180713,1",
2967,"SCDM,106,單聲沒,54,20170804,1",
2968,"TCDM,105,智簡,14,20160629,1",
2969,"IPCM,104,刑智上訴,41,20151112,1",
2970,"KSDM,93,簡,6043,20041230,1",
2971,"TNDM,107,智簡,49,20181114,1",
2972,"IPCA,104,行專訴,56,20151021,2",
2973,"IPCV,106,民專上,33,20180726,2",
2974,"TPAA,99,判,951,20100923,1",
2975,"TPBA,96,訴,3640,20080327,2",
2976,"TPDM,90,訴,754,20010828,1",
2977,"KSDM,100,智簡,248,20120305,1",
2978,"IPCV,98,民專訴,132,20100803,2",
2979,"TPDM,98,簡,1695,20090604,1",
2980,"IPCA,100,行商訴,13,20110616,2",
2981,"IPCV,106,民著上,15,20180607,1",
2982,"SLDM,112,智簡,3,20230629,1",
2983,"PCDM,104,智簡,4,20150130,1",
2984,"SCDM,110,智簡,14,20210908,1",
2985,"SCDM,105,單聲沒,62,20161129,1",
2986,"MLDM,102,苗智簡,2,20130523,1",
2987,"TPBA,94,訴,1207,20060425,2",
2988,"IPCV,99,民專上,37,20110310,2",
2989,"KSDM,108,智簡,15,20191007,1",
2990,"IPCV,108,民專訴,80,20200203,2",
2991,"TPDM,95,易,1057,20060630,2",
2992,"IPCA,97,行專訴,33,20081225,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
2993,"TPBA,93,訴更一,5,20050817,1","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
2994,"TPDM,104,智附民,12,20150831,1",
2995,"PCDM,94,易,1178,20051114,1",
2996,"SDEM,102,沙智簡,10,20130823,1",
2997,"TYDM,105,審智簡,4,20160629,1",
2998,"TPSV,111,台上,20,20230713,1",
2999,"TCDM,99,中智簡,90,20110324,1",
3000,"TPAA,88,判,2049,19990531","先行通知書中所附附件一（歐洲專利第一二六三一一號）申請專利範圍第１項所
揭式之式（Ｉ）化合物範圍，即附件一之式（Ｉ）化合物中，Ｒ及Ｒ其中之一為氫（
Ｈ），另一為Ｃ烷羰基（Ｃ alkylcarbonyl，其已包括前述化合物之「６－乙酼基」
）；Ｒ及Ｒ為Ｃ烷基（Ｃ alkyl，其已包括前述化合物之「２，２－甲基」）；Ｒ為
羥基（ OH, hydroxy，即已包括前述化合物之「 3R-醇」）；Ｒ為氫（hydrogen，即
前述化合物之「３，４－二氫」）；Ｒ為可被鹵素（ halogen，其包括前述化合物之
「４－氟」）取代之芳基（aryl，已包括前述化合物之苯）；Ｒ為氫；Ｘ為氧（oxyg
en）（故 R-N-Cx-R 即為「H-N-C-（芳基）－鹵素」，其已包括前述化合物之「４－
氟芐醯胺基」，即 H-N-C  -F），前述化合物之結構為
，而綜合附件一式（Ｉ）化合物前述取代基之定義後可得知下之結構：
                   為 （C1-6 烷羰基）             或
，前述化合物之消旋結構在附件一之實例亦已揭示，因此起訴理由所指出之化合物
（亦即其訴願階段所提申請專利範圍第１項所請化合物）並不具新穎性，且原告未在
本局審定前修正本局已明確告知之不具新穎性之範圍，自亦難符專利要件，從而本局
之審定於認事用法上自無不當之處。二、起訴理由第二點謂本局之審定內容含糊不清
，並無明確指出可接受之修正專利範圍，繼而於再審核駁理由先行通知書中，明知本
申請案之「反式 -6-乙醯基-4S-（4-氟醯胺基）-3,4-二氫-2,2-二甲基-2H-1-苯駢喃
-3R-醇」具有新穎性及進步性，仍未予通知指示即逕行審定核駁，應為嚴重不當。
惟查本局於前述再審查案核駁理由先行通知書已明確告知「申請專利範圍第７至項
及至項所請化合物『（除實例之化合物外），均』．．．，故不具新穎性」，
及「本案『實例』乃屬熟習此項技藝人士可等效替換而輕易完成之發明」，此項先
行通知之核駁理由可謂已明確告知不符專利要件之申請專利範圍，反觀原告所主張前
述之化合物及於本局審定前（即八十四年四月十二日）修正之申請專利範圍第１項仍
屬本局前述通知書中所述已不符專利要件之「申請專利範圍第７至項及至項所
請化合物」之範圍，而本局所為之審定於認事用法上亦無違誤之處。三、起訴理由第
三點謂本案於再訴願所提之申請專利範圍修正本確實涵蓋於本局所審定之範圍內，並
非行政救濟程序所不得論究者一節。惟其所修正之申請專利範圍第１項化合物係屬本
局前述核駁理由先行通知書中所明確告知不符專利要件之範圍（即「申請專利範圍第
７至項及至項所請化合物」之範圍）。退一步言，不論其行政救濟階段所送之
申請專利範圍是否合乎專利要件，本局在審定之前，已依專利法第四十條第二項之規
定，將認為有不予專利之情事明確通知原告，原告理應把握機會在期限內進行修正，
絕非在未依限修正而遭不予專利之審定後，將取得專利之申請程序延宕至行政救濟階
段。四、起訴理由第四點專利法並沒有強制規定揭示數據之必要性，同時，本局之審
定內容含糊不清，並無明確指出所謂「熟習該項技術者能瞭解其內容並據而實施」，
究竟標準為何云云。惟專利制度係保護「新」而「有用」之發明，「可供產業上利用
」是專利法中最基本專利要件之要求，若無數據之揭示，自無客觀之判定標準可供判
定本案所請是否可供產業上利用，而熟習該項技術者在重覆實施本發明後，是否可得
到相同之結果，亦無從確知。此外，原告謂本局未明確指出標準為何，亦與事實不符
，查本局前述核駁理由先行通知書第四點中已明確告知所謂「具體明確之藥理結果數
據」係「例如大鼠．．．增加多少，所謂的．．．又是多少，統計上之Ｐ值為何」，
惟八十四年一月十九日所補充之藥理實驗結果，僅係籠統敘述「明顯增加」，並無具
體明確之數值說明其「明顯增加」之效果，且說明書第頁藥理實驗１之結果「實施
例４中的化合物產生顯著的反應」亦未依前述通知書第四點所述補正具體明確之藥理
結果數據，由於所謂「明顯增加」及「顯著的反應」乃屬見仁見智之主觀認定，並無
明確客觀之判定標準，在此情況下，熟習該項技術者在重覆實施本發明後，是否可得
到相同的結果，並無法確知，因此自無法符合專利法第二十二條第三項之規定，而其
所述之功效既無明確客觀之判定標準，又豈能以其「明顯增加」及「顯著的反應」之
文字敘述，判定本案所請可供產業上利用。五、起訴理由第五點謂原告於再訴願提出
時，併呈一份試驗結果說明。惟其試驗結果說明或申請專利範圍修正本均係於再審查
審定之後始行提出，即未經本局審查，自未便在訴訟程序中受理審究，此外，其所修
正之申請專利範圍第１項中所請化合物亦不具新穎性（如前述第一點說明），而以未
經本局審查之試驗結果及申請專利範圍修正本駁斥本局之審定，亦非公平合理，且亦
造成法律上關於期限之不安定。六、起訴理由第六點係關於實施例熔點之爭議一節。
惟此並非本局核駁審定之理由，且亦無法據以駁斥本局之審定。七、起訴理由第七點
謂原告於再訴願時提出進步性證言。惟其所請化合物不但不具新穎性（如前述第一點
說明），且未在本局審定前提供具體明確之數據（如前述第四點說明），自無法據以
駁斥本局之審定，而且以本局審定後始行提出之申請專利範圍、試驗結果及進步性證
言駁斥本局之審定，亦非公平合理。退一步言，即使申請專利範圍之修正及試驗結果
係在本局審定前提出，其所請化合物之消旋結構在前述附件一（歐洲專利第一二六三
一一號）之實例（第頁）已有揭示，而消旋結構既經揭示，藥學及化學從業人員
自可輕易得知其所存在之Ｒ或Ｓ光學異構物，因此其所請化合物亦難具進步性。八、
綜上所述，本局所為本案應不予專利之審定並無違法，本案原告之訴無理由，敬請駁
回原告之訴等語。
　　理  由
依專利法第二十條第一項規定，凡可供產業上利用之發明，無該項所列三款情事之一
者，得申請取得發明專利。其第一款前段規定為申請前已見於刊物或已公開使用者。
同條第二項復規定，發明係運用申請前既有之技術或知識，而為熟習該項技術者所能
輕易完成時，雖無同條第一項所列情事，仍不得申請取得發明專利。又申請發明專利
之說明書，除應載明申請專利範圍外，並應載明有關之先前技術、發明之目的、技術
內容、特點及功效，使熟習該項技術者能瞭解其內容並可據以實施，復為同法第二十
二條第三項所規定。本件原告於八十一年六月十五日以「用於治療特定CNS 異常之苯
喃衍生物」向被告申請發明專利，被告則以本案申請專利範圍第一項化合物已揭示
於歐洲第一二六三一一號專利案（以下稱引證一）及第二五○○七七號專利案（以下
稱引證二），係屬於引證一式Ｉ化合物（其中Ｒ及Ｒ其中之一為氫，另一為烷羰基、
烷氧羰基、硝基、氰基、氯基、三氟甲基；Ｒ及Ｒ其中之一為氫或烷基，另一為烷基
；Ｒ為氫或羥基；Ｒ為氫；Ｒ為可任意經鹵素單或多取代之芳基；Ｒ為氫或烷基；Ｘ
為氧）及引證二之式（Ｉ）化合物（其中Ｙ為Ｎ；Ｒ及Ｒ其中之一為氫或烷基，另一
為烷基；Ｒ為氫或羥基；Ｒ為環烷基或烷基；Ｒ為可任意經鹵素單或多取代之芳基；
Ｒ為氫或烷基；Ｘ為氧）所揭示之範圍，難謂具有新穎性。本案所請化合物為熟習此
項技藝者依引證一、二實例之教示而可輕易完成，例如本案申請專利範圍第二項第三
個化合物即說明書實施例之化合物，乃屬熟習此項技藝人士可輕易等效替換自引證
一之實例４。又八十四年一月十九日補充之藥理實驗及數據，其中數據僅係籠統之文
字敘述，例如「顯示 CV 明顯增加」、「造成進入開放巷道的次數明顯增加」，並無
具體明確之數值說明其「明顯增加」之效果；而藥理實驗１之結果「實施例４中的化
合物產生顯著的反應」亦未補正具體明確之藥理結果數據，無法判斷申請專利範圍第
二項及第三項所請可供產業上利用，而依專利法第二十條第一項前段、第一項第一款
、第二項及第二十二條第三項規定，為應不予專利之審查及再審查，與首揭規定，尚
無不合。原告起訴主張本案申請專利第１項中，反式 -6-乙醯基-4S-（4-氟醯胺基）
-3,4-二氫-2,2-二甲基-2H-1-苯駢喃-3R-醇，完全不曾被任何前人技藝所教示，當然
無人知此化合物具有抗痙攣的效果，原告已於提出再訴願時，將本案申請專利範圍限
定於此化合物，且併呈修正後縮限之申請專利範圍，此化合物之抗痙攣效果所具有之
新穎性及進步性，自應無任何疑義云云。惟查原告於八十五年十一月二十五日訴願理
由書所附申請專利範圍第１項所請之前述化合物係屬被告八十三年十一月二十二日（
八三）台專（玖）○一○二二字第一三六二○二號再審查案核駁理由先行通知書中所
附附件一（歐洲專利第一二六三一一號）申請專利範圍第１項所揭式之式（Ｉ）化合
物範圍，即附件一之式（Ｉ）化合物中，Ｒ及Ｒ其中之一為氫（Ｈ），另一為Ｃ烷羰
基（Ｃ alkylcarbonyl，其已包括前述化合物之「６－乙酼基」）；Ｒ及Ｒ為Ｃ烷基
（Ｃ alkyl，其已包括前述化合物之「２，２－甲基」）；Ｒ為羥基（ OH, hydroxy
，即已包括前述化合物之「 3R-醇」）；Ｒ為氫（hydrogen，即前述化合物之「３，
４－二氫」）；Ｒ為可被鹵素（ halogen，其包括前述化合物之「４－氟」）取代之
芳基（ aryl，已包括前述化合物之苯）；Ｒ為氫；Ｘ為氧（oxygen）（故 R-N-Cx-R
即為「H-N-C-（芳基）－鹵素」，其已包括前述化合物之「４－氟
醯胺基」，即 H-N-C  -F），前述化合物之結構為
，而綜合附件一式（Ｉ）化合物前述取代基之定義後可得知下之結構：
                   為 （C1-6 烷羰基）             或
，前述化合物之消旋結構在附件一之實例亦已揭示，因此原告起訴理由所指出之化
合物（亦即其訴願階段所提申請專利範圍第１項所請化合物）並不具新穎性，且原告
未在被告審定前修正被告已明確告知之不具新穎性之範圍，自亦難符專利要件，從而
被告不予專利之審定於認事用法上自無不當之處。原告起訴意旨主張被告之審定內容
含糊不清，並無明確指出可接受之修正專利範圍，繼而於再審核駁理由先行通知書中
，明知本申請案之「反式 -6-乙醯基-4S-（4-氟醯胺基）-3,4-二氫-2,2-二甲基-2H-
1-苯駢喃-3R-醇」具有新穎性及進步性，仍未予通知指示即逕行審定核駁，應為嚴
重不當云云。惟查被告於前述再審查案核駁理由先行通知書已明確告知「申請專利範
圍第７至項及至項所請化合物『（除實例之化合物外），均』．．．，故不
具新穎性」，及「本案『實例』乃屬熟習此項技藝人士可等效替換而輕易完成之發
明」，此項先行通知之核駁理由可謂已明確告知不符專利要件之申請專利範圍，反觀
原告所主張前述之化合物及於本局審定前（即八十四年四月十二日）修正之申請專利
範圍第１項仍屬本局前述通知書中所述已不符專利要件之「申請專利範圍第７至項
及至項所請化合物」之範圍，而本局所為之審定於認事用法上亦無違誤之處。原
告起訴主張本案於再訴願所提之申請專利範圍修正本確實涵蓋於被告所審定之範圍內
，並非行政救濟程序所不得論究者乙節：惟查原告所修正之申請專利範圍第１項化合
物係屬被告前述核駁理由先行通知書中所明確告知不符專利要件之範圍（即「申請專
利範圍第７至項及至項所請化合物」之範圍）。退一步言，不論其行政救濟階
段所送之申請專利範圍是否合乎專利要件，被告在審定之前，已依專利法第四十條第
二項之規定，將認為有不予專利之情事明確通知原告，原告理應把握機會在期限內進
行修正，絕非在未依限修正而遭不予專利之審定後，將取得專利之申請程序延宕至行
政救濟階段。原告起訴理由又指稱專利法並沒有強制規定揭示數據之必要性，同時，
被告之審定內容含糊不清，並無明確指出所謂「熟習該項技術者能瞭解其內容並據而
實施」，究竟標準為何云云。惟查專利制度係保護「新」而「有用」之發明，「可供
產業上利用」是專利法中最基本專利要件之要求，若無數據之揭示，自無客觀之判定
標準可供判定本案所請是否可供產業上利用，而熟習該項技術者在重覆實施本發明後
，是否可得到相同之結果，亦無從確知。此外，原告謂被告未明確指出標準為何，亦
與事實不符，因查被告前述核駁理由先行通知書第四點中已明確告知所謂「具體明確
之藥理結果數據」係「例如大鼠．．．增加多少，所謂的．．．又是多少，統計上之
Ｐ值為何」，惟八十四年一月十九日所補充之藥理實驗結果，僅係籠統敘述「明顯增
加」，並無具體明確之數值說明其「明顯增加」之效果，且說明書第四十五頁藥理實
驗１之結果「實施例４中的化合物產生顯著的反應」亦未依前述通知書第四點所述補
正具體明確之藥理結果數據，由於所謂「明顯增加」及「顯著的反應」乃屬見仁見智
之主觀認定，並無明確客觀之判定標準，在此情況下，熟習該項技術者在重覆實施本
發明後，是否可得到相同的結果，並無法確知，因此自無法符合專利法第二十二條第
三項之規定，而其所述之功效既無明確客觀之判定標準，又豈能以其「明顯增加」及
「顯著的反應」之文字敘述，判定本案所請可供產業上利用。原告起訴理由指稱原告
於再訴願提出時併呈一份試驗結果說明云云。惟原告試驗結果說明或申請專利範圍修
正本均係於再審查審定之後始行提出，即未經被告審查，自未便在訴訟程序中受理審
究，此外，其所修正之申請專利範圍第１項中所請化合物亦不具新穎性（如前述第一
點說明），而以未經被告審查之試驗結果及申請專利範圍修正本駁斥被告之審定，亦
非妥適，且亦造成法律上關於期限之不安定性，原告所提Neil Upton之證詞，核屬個
人之見解，要難執為本案應准發明專利之論據，至於原告起訴理由中有關實施熔點上
之爭議，因非被告核駁審定之理由，而且該修正本所指為實施例之化合物，其與實
施例之化合物，係由實施例之化合物分割而來，實施例之化合物與引證一實例
之化合物相同，實施例與實施例具相同之結構，其合成為已知；而實施例、
係由實施例分割而來，理論上實施例、之融點應高於實施例之融點，惟本
案所提出之實施例、之融點反而低於實施例之融點，此點與常理不合，原告無
法以實施例熔點之爭議認被告之審定有所違誤。至於原告起訴主張原告於再訴願時提
出進步性證言云云。惟其所請化合物不但不具新穎性（如前述說明），且未在被告審
定前提供具體明確之數據，自無法據以駁斥被告之審定，而且以被告審定後始行提出
之申請專利範圍、試驗結果及進步性證言駁斥被告之審定，亦非妥適。退一步言，即
使申請專利範圍之修正及試驗結果係在被告審定前提出，其所請化合物之消旋結構在
前述附件一（歐洲專利第一二六三一一號）之實例已有揭示，而消旋結構既經揭示
，藥學及化學從業人員自可輕易得知其所存在之Ｒ或Ｓ光學異構物，因此其所請化合
物亦難具進步性。本案經經濟部三次送請財團法人工業技術研究院化學工業研究所鑑
定結果均認本案不具新穎性及供產業上利用性，不應予專利，有該所八十六年一月二
十七日（八六）工研化審字第○一五二號函暨審本意見書、八十六年三月三日（八六
）工研化審字第○二九八號函暨審查意見書及八十六年七月二十四日（八六）工研化
審字第一一四一號函暨審查意見書各乙份附於經濟部卷宗內可證。綜上所述，本件被
告所為本案應不予專利之審定，於法尚無不合，訴願決定及再訴願決定遞予維持原處
分，尚無違誤，原告起訴意旨經核無理由，應予駁回。
據上論結，本件原告之訴為無理由，爰依行政訴訟法第二十六條後段，判決如主文。"
3001,"TCDM,102,智訴,6,20131218,2",
3002,"KSDM,90,易,3350,20010928,1",
3003,"TPBA,91,訴,67,20030226,1",
3004,"TPBA,90,訴,6507,20020703,1",
3005,"TPDV,97,智,11,20081120,2",
3006,"TPDM,104,智易,67,20151126,1",
3007,"PCDM,104,智易,2,20151030,1",
3008,"IPCA,100,行專訴,2,20110623,3",
3009,"TPSM,110,台抗,1939,20211216,1",
3010,"PCDM,106,單聲沒,682,20171024,1",
3011,"PCDM,93,簡,3837,20040831,1",
3012,"PCDM,107,智易,35,20181107,1",
3013,"TYDM,102,桃智簡,10,20130515,1",
3014,"TPHM,92,上更(一),214,20040720,2",
3015,"NTDV,95,智,1,20080620,2",
3016,"IPCA,97,行專訴,42,20081111,2",
3017,"IPCA,103,行商訴,137,20150422,2",
3018,"TPDM,99,智易,5,20100430,1","請求檢察官上訴，其上訴期間之計算係以檢察官收受判決正
本之日期為準。
                                書記官  吳俊龍"
3019,"TPBA,93,訴,3648,20051026,2",
3020,"IPCM,110,刑智上易,11,20210429,1",
3021,"IPCA,98,行專訴,87,20091020,3",
3022,"TCDM,107,中智簡,23,20180802,1",
3023,"KSDM,102,智簡,175,20130916,1",
3024,"IPCM,111,刑智上易,9,20220720,1",
3025,"KSDM,90,易,2833,20010914,1",
3026,"IPCA,103,行專訴,15,20140619,3",
3027,"IPCV,103,民商上,14,20150226,1",
3028,"KSDM,96,簡,707,20070227,1",
3029,"TPBA,91,訴,2527,20031016,1",
3030,"KSDM,101,智簡,88,20120605,1",
3031,"TYDM,105,壢智簡,23,20170206,1",
3032,"PCDM,96,簡,2553,20070727,1",
3033,"TPBA,91,訴,3049,20030811,1",
3034,"TPBA,90,訴,3449,20020227,2",
3035,"TYDM,105,單聲沒,106,20160921,1",
3036,"TPAA,90,判,2052,20011108,1",
3037,"TYDM,100,智易,4,20120905,1",
3038,"PCDM,98,簡上,954,20091028,1",
3039,"TPBA,96,訴,1518,20080109,2",
3040,"PTDM,95,簡,250,20060224,1",
3041,"KSHM,89,上易,1750,20001130",
3042,"TPBA,91,訴,4953,20040401,2",
3043,"IPCA,102,行商訴,138,20140307,1",
3044,"TPAA,111,上,401,20221027,1",
3045,"NTDM,89,自,42,20020326,2",
3046,"IPCA,99,行專更(一),5,20111209,3",
3047,"IPCV,101,民專訴,81,20130410,3",
3048,"CTDM,112,智簡,51,20231222,1",
3049,"IPCA,98,行商訴,192,20091203,2",
3050,"TPBA,93,訴,2517,20050728,1",
3051,"IPCV,99,民專上,38,20110113,2",
3052,"PCDM,88,重附民,84,20000316",
3053,"TPAA,108,判,70,20190221,1",
3054,"TPAA,93,判,580,20040513,1",
3055,"TPSM,105,台上,3086,20161124",
3056,"CTDM,109,智簡,39,20201006,1",
3057,"TPBA,94,訴,1185,20060216,1",
3058,"IPCV,112,民專訴,47,20240930,2",
3059,"TPBA,93,訴,4067,20051130,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3060,"TYDM,113,智易,12,20240830,1",
3061,"CHDM,93,易,948,20041130,1",
3062,"IPCA,104,行商訴,72,20160129,2",
3063,"TPBA,97,訴,697,20080724,1",
3064,"TPAA,98,裁,2041,20090820,1",
3065,"IPCV,111,民著訴,59,20221122,1",
3066,"IPCM,111,刑智上易,37,20230427,1",
3067,"TPBA,92,訴,247,20040113,1",
3068,"IPCV,107,民著訴,23,20200323,2",
3069,"TPBA,89,訴,447,20001214,1",
3070,"IPCA,101,行商訴,165,20130515,3",
3071,"TCDM,112,中智簡,41,20230828,1",
3072,"IPCM,106,刑智上訴,29,20171012,1",
3073,"IPCA,100,行專訴,59,20120119,3",
3074,"TPDM,108,智簡,50,20191031,1","請求檢察官上訴，其上訴期間之計算係以檢察官收受判決正
本之日期為準。
                              書記官  莊宜諳"
3075,"IPCV,105,民專訴,15,20181023,7",
3076,"TCDM,90,易,928,20010423,1",
3077,"TPDM,89,訴,459,20000429,1",
3078,"TPDM,109,智易,3,20210330,1","請求檢察官上訴，其上訴期間之計算係以檢察官收受判決正
本之日期為準。 
                              書記官  洪婉菁"
3079,"TPDM,98,易,1614,20110729,1","請求檢察官上訴，其上訴期間之計算係以檢察官收受判決正
本之日期為準。
                                書記官  桑子樑"
3080,"TYDM,94,壢簡,1681,20060331,1",
3081,"TPBA,96,訴,222,20071115,2",
3082,"TPBA,89,訴,3419,20010927,2",
3083,"TPBA,91,訴,4963,20040108,1",
3084,"TPBA,96,訴,2939,20080320,2",
3085,"TPSV,108,台上,717,20190417,1",
3086,"SCDM,96,易,810,20080530,1",
3087,"KSDM,103,審智訴,1,20140310,1",
3088,"TPBA,96,訴,119,20071107,3",
3089,"KSDM,105,智簡,24,20160516,1",
3090,"KSHM,94,上易,123,20050412,1",
3091,"IPCA,100,行商訴,169,20120430,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3092,"IPCA,106,行專訴,33,20171129,3",
3093,"IPCV,99,民商訴,52,20110826,2",
3094,"TPDM,96,易,495,20070622,1",
3095,"PCDM,101,智易,6,20120629,1",
3096,"TPAA,99,判,1137,20101028,1",
3097,"IPCM,111,刑智聲,26,20221201,1",
3098,"TPDM,92,簡,3634,20031031,1",
3099,"TPHV,95,上,567,20070424,2",
3100,"TPBA,96,訴,2954,20080619,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3101,"KSDM,92,簡上,510,20031117,2",
3102,"TPBA,95,訴,3372,20071024,3",
3103,"IPCM,102,刑智上訴,49,20131211,1",
3104,"CHDM,100,智簡,53,20110831,1",
3105,"ILDM,94,易,328,20051025,1",
3106,"TPSM,98,台上,3110,20090604",
3107,"IPCM,101,刑智上訴,92,20130227,1",
3108,"TPDM,93,簡,1987,20040819,1",
3109,"KSDM,105,智簡,1,20160218,1",
3110,"KSDM,100,智簡,275,20120209,1",
3111,"IPCM,100,刑智上訴,53,20111026,1",
3112,"IPCM,110,刑智上重訴,2,20210707,1",
3113,"KSDM,91,易,441,20030917,1",
3114,"IPCM,98,附民上,11,20091012,1",
3115,"TPDM,107,智附民,23,20190731,2",
3116,"TPAA,98,裁,911,20090409,1",
3117,"TPBA,95,訴,1384,20070329,1","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3118,"PCDM,104,智簡,57,20150828,1",
3119,"PCDM,94,簡,2043,20050826,1",
3120,"TPBA,97,訴,1149,20080924,2",
3121,"TPBA,94,訴,2041,20060726,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3122,"TPAA,91,判,2172,20021205,1",
3123,"TPAA,96,裁,3479,20071207,1",
3124,"TNDM,105,智易,32,20170322,1",
3125,"IPCV,100,民專訴,125,20130830,5",
3126,"IPCA,102,行專訴,71,20130910,3",
3127,"IPCA,98,行商訴,245,20100506,2",
3128,"TCDM,100,中智簡,34,20110527,1",
3129,"IPCA,106,行專訴,13,20180521,2",
3130,"TPBA,94,訴,3215,20061030,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
3131,"IPCV,108,民專上更(一),9,20200807,2",
3132,"PCDM,109,智簡,25,20200519,1",
3133,"IPCV,108,民商上更(二),1,20210818,3",
