term,pattern_type,category,action,enabled,risk_level,reason,example
訴願決定、原處分均撤銷,literal,administrative_disposition,remove,TRUE,high,行政訴訟結論,訴願決定、原處分均撤銷
訴願決定駁回,literal,administrative_history,remove,TRUE,medium,程序背景中的准駁結果,訴願決定駁回
訴願遭駁回,literal,administrative_history,remove,TRUE,medium,程序背景中的准駁結果,訴願遭駁回
提起訴願遭駁回,literal,administrative_history,remove,TRUE,medium,程序背景中的准駁結果,提起訴願遭駁回
不予專利,literal,administrative_disposition,remove,TRUE,medium,專利行政處分結果,不予專利
不予受理,literal,administrative_disposition,remove,TRUE,high,程序准駁結果,不予受理
舉發成立,literal,administrative_disposition,remove,TRUE,medium,專利商標行政處分結果,舉發成立
舉發不成立,literal,administrative_disposition,remove,TRUE,medium,專利商標行政處分結果,舉發不成立
應撤銷專利權,literal,administrative_disposition,remove,TRUE,high,專利權有效性結論,應撤銷專利權
量處如主文所示,literal,criminal_sentence,remove,TRUE,high,刑事量刑結論,量處如主文所示
處如主文所示,literal,criminal_sentence,remove,TRUE,high,刑事量刑結論,處如主文所示
如主文所示之刑,literal,criminal_sentence,remove,TRUE,high,刑事量刑結論,如主文所示之刑
判決如主文,literal,boundary_marker,remove,TRUE,high,判決結論標記,判決如主文
裁定如主文,literal,boundary_marker,remove,TRUE,high,裁定結論標記,裁定如主文
勝訴,literal,outcome_word,remove,TRUE,high,直接結果詞,取得勝訴判決
敗訴,literal,outcome_word,remove,TRUE,high,直接結果詞,原審為上訴人全部敗訴
部分勝訴,literal,outcome_word,remove,TRUE,high,直接結果詞,部分勝訴
聲明:,literal,pleading_marker,remove_section,TRUE,medium,聲明段落不屬事實本體,聲明:
訴之聲明,literal,pleading_marker,remove_section,TRUE,medium,聲明段落不屬事實本體,訴之聲明
並聲明,literal,pleading_marker,remove_section,TRUE,medium,聲明段落不屬事實本體,並聲明
答辯聲明,literal,pleading_marker,remove_section,TRUE,medium,答辯聲明不屬事實本體,答辯聲明
上訴聲明,literal,pleading_marker,remove_section,TRUE,medium,上訴聲明不屬事實本體,上訴聲明
請求法院判決如下,literal,pleading_marker,remove_section,TRUE,high,引出請求判決內容,請求法院判決如下
起訴意旨,literal,pleading_marker,remove_section,TRUE,medium,起訴主張段落可能混入結論,起訴意旨
上訴意旨,literal,pleading_marker,remove_section,TRUE,medium,上訴理由段落可能混入結論,上訴意旨
本院判斷,literal,court_reasoning_marker,remove_section,TRUE,high,法院判斷段落不屬事實本體,本院判斷
本院認為,literal,court_reasoning_marker,remove_section,TRUE,medium,法院判斷段落不屬事實本體,本院認為
綜上所述,literal,court_reasoning_marker,remove_section,TRUE,high,結論段落標記,綜上所述
駁回,literal,broad_outcome_word,review,FALSE,medium,單字過廣不建議直接啟用,訴願遭駁回
准許,literal,broad_outcome_word,review,FALSE,medium,單字過廣不建議直接啟用,變更聲明應予准許
主文,literal,boundary_marker,review,FALSE,medium,單字過廣建議使用具體片語,判決主文內容
理由,literal,broad_section_word,review,FALSE,low,單字過廣不建議直接刪,事實及理由
公訴意旨,literal,pleading_marker,review,FALSE,low,刑事公訴意旨可能包含犯罪事實需審核,公訴意旨
原告不服提起訴願,literal,administrative_history,review,FALSE,low,程序背景高頻但不一定是leakage,原告不服提起訴願
撤銷原處分,literal,administrative_history,review,FALSE,medium,可能是前案或訴願歷史不一定是本案結果,撤銷原處分
原處分撤銷,literal,administrative_history,review,FALSE,medium,可能是聲明或前案歷史不一定是本案結果,原處分撤銷
從而,literal,court_reasoning_marker,review,FALSE,medium,結論連接詞過廣,從而
準此,literal,court_reasoning_marker,review,FALSE,medium,結論連接詞過廣,準此
